repo_id,DEAD_CODE_AFTER_STOP_RUN,DIVIDE_BY_ZERO_RISK,INFINITE_LOOP_NON_TERMINATION,MISSING_ELSE_FOR_CRITICAL_CHECK,MISSING_FILE_STATUS_HANDLING,REDUNDANT_GOTO,UNDECLARED_IDENTIFIER_REFERENCE,UNINITIALIZED_DATA_ITEM_USE,UNUSED_DATA_ITEM,WRONG_CALCULATION_LOGIC
GaloisGirl_Coding,0.20974408090114594,0.10000000149011612,0.22869619727134705,0.10065039992332458,0.05870211124420166,0.22128506004810333,0.21516668796539307,0.15539249777793884,0.17580139636993408,0.03658831864595413
IBM_example-health-apis,,0.2789808213710785,0.0922619104385376,0.13182510435581207,0.058937590569257736,0.3939594328403473,0.21524696052074432,0.19123931229114532,0.2833658754825592,0.08766390383243561
Martinfx_Cobol,,0.07021605223417282,0.2851731777191162,0.1678740233182907,0.11218254268169403,0.3523809611797333,0.23761023581027985,0.287916362285614,0.19455914199352264,0.06623931974172592
abrignoli_COBSOFT,0.0476190485060215,0.20000000298023224,0.24399855732917786,0.06039562448859215,0.13735570013523102,1.0,0.5,0.41013073921203613,0.08493480831384659,0.07775699347257614
bhbandam_AZ-Legacy-Engineering,,0.15849673748016357,0.07692307978868484,0.2103278487920761,1.0,0.2033013254404068,0.2357761561870575,,0.13295269012451172,0.4241071343421936
bmcsoftware_vscode-ispw,,0.10543200373649597,0.10208626091480255,,0.07189977169036865,,,0.08699681609869003,0.3172251582145691,0.05226588249206543
debinix_openjensen,,0.09862019866704941,0.045046981424093246,0.16041666269302368,0.2793314754962921,0.23075397312641144,0.16779100894927979,0.4142857491970062,0.08241192251443863,0.08195045590400696
gbeine_COBOLUnit,,0.17046035826206207,0.10900223255157471,,0.18147386610507965,,,0.2229480892419815,,0.03804304823279381
lucasrmagalhaes_learning-COBOL,0.13899913430213928,0.19842343032360077,0.09650412201881409,0.06960238516330719,0.2024109810590744,0.37040814757347107,0.13158856332302094,0.04570590704679489,0.1157810240983963,0.17940905690193176
neopragma_cobol-unit-test,,0.28720539808273315,0.10890450328588486,0.11965839564800262,0.15012255311012268,0.22142630815505981,0.22729207575321198,0.06628788262605667,0.2782377600669861,0.12434440851211548
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0833333358168602,,,,0.17045454680919647,0.5,0.3333333432674408,0.06666667014360428,,
thospfuller_rcoboldi,,,,,,,,,,
ve3wwg_cobcurses,0.0865151509642601,0.02704678475856781,0.07691946625709534,0.05550171062350273,0.031070159748196602,0.20447173714637756,0.0326080396771431,0.052830129861831665,0.050085265189409256,0.07850641757249832
z390development_z390,0.12735940515995026,0.2828182876110077,0.0798255205154419,0.026618415489792824,0.04831424355506897,0.1671047955751419,0.050737831741571426,0.0469723679125309,0.07395175844430923,0.1198795884847641
