repo_id,DEAD_CODE_AFTER_STOP_RUN,DIVIDE_BY_ZERO_RISK,INFINITE_LOOP_NON_TERMINATION,MISSING_ELSE_FOR_CRITICAL_CHECK,MISSING_FILE_STATUS_HANDLING,REDUNDANT_GOTO,UNDECLARED_IDENTIFIER_REFERENCE,UNINITIALIZED_DATA_ITEM_USE,UNUSED_DATA_ITEM,WRONG_CALCULATION_LOGIC
GaloisGirl_Coding,0.24464377760887146,0.09345237910747528,0.28505611419677734,0.052480123937129974,0.03468574956059456,0.2010912001132965,0.16106444597244263,0.0867139995098114,0.13722242414951324,0.05492144823074341
IBM_example-health-apis,,0.050330691039562225,0.05813064053654671,0.16134245693683624,0.095238097012043,0.14549988508224487,0.08060384541749954,0.0491071417927742,0.11903876811265945,0.25833335518836975
Martinfx_Cobol,,0.3714597225189209,0.2336309552192688,0.0913323163986206,0.0863095223903656,0.07707305252552032,0.08174700289964676,0.04316770285367966,0.10098734498023987,0.07500000298023224
abrignoli_COBSOFT,0.0476190485060215,0.0625,0.2376479208469391,0.026719577610492706,0.24390757083892822,0.03333333507180214,0.10000000149011612,0.06153499335050583,0.08604346215724945,0.2501222789287567
bhbandam_AZ-Legacy-Engineering,,0.062745101749897,,0.16446568071842194,,0.22698412835597992,0.12471528351306915,,0.21740946173667908,0.0625
bmcsoftware_vscode-ispw,,0.22778379917144775,0.06006493791937828,,0.0800156220793724,,,0.21086695790290833,0.1428820937871933,0.07483651489019394
debinix_openjensen,,0.0690736472606659,0.08637218177318573,0.11679386347532272,0.2291666716337204,0.15206293761730194,0.09093602001667023,0.047558922320604324,0.1300656795501709,0.060756199061870575
gbeine_COBOLUnit,,0.03857758641242981,0.202029749751091,,0.03857133910059929,,,0.22636054456233978,,0.05658932775259018
lucasrmagalhaes_learning-COBOL,0.1684504747390747,0.05765056237578392,0.05824793502688408,0.09746892005205154,0.14313562214374542,0.10427379608154297,0.05436454340815544,0.07001189142465591,0.08570809662342072,0.07504063844680786
neopragma_cobol-unit-test,,0.10332517325878143,0.2113095074892044,0.19693079590797424,0.1666666716337204,0.18485814332962036,0.24100972712039948,0.06512605398893356,0.22281217575073242,0.26754385232925415
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.05882352963089943,,,,0.06904762238264084,0.06666667014360428,0.10000000149011612,0.1428571492433548,,
thospfuller_rcoboldi,,,,,,,,,,
ve3wwg_cobcurses,0.07906124740839005,0.01925898715853691,0.0363113172352314,0.02909555658698082,0.02411814220249653,0.02764183282852173,0.050692904740571976,0.014435932040214539,0.050228822976350784,0.020804554224014282
z390development_z390,0.08995150029659271,0.030218318104743958,0.04711759090423584,0.0563272163271904,0.12650352716445923,0.044050075113773346,0.07218282669782639,0.03841066733002663,0.0627279058098793,0.0926293209195137
