repo_id,DEAD_CODE_AFTER_STOP_RUN,DIVIDE_BY_ZERO_RISK,INFINITE_LOOP_NON_TERMINATION,MISSING_ELSE_FOR_CRITICAL_CHECK,MISSING_FILE_STATUS_HANDLING,REDUNDANT_GOTO,UNDECLARED_IDENTIFIER_REFERENCE,UNINITIALIZED_DATA_ITEM_USE,UNUSED_DATA_ITEM,WRONG_CALCULATION_LOGIC
GaloisGirl_Coding,0.22720767557621002,0.06373333930969238,0.308611124753952,0.13374195992946625,0.11536797136068344,0.23271231353282928,0.21262139081954956,0.1613055318593979,0.18696540594100952,0.03471801429986954
IBM_example-health-apis,,0.40312498807907104,0.1041666716337204,0.1286417543888092,0.049719419330358505,0.3925565183162689,0.2219976931810379,0.07279693335294724,0.42120862007141113,0.25440093874931335
Martinfx_Cobol,,0.060646604746580124,0.0540521964430809,0.16847573220729828,0.0868055522441864,0.3589285910129547,0.2807760238647461,0.28661614656448364,0.18383964896202087,0.057189542800188065
abrignoli_COBSOFT,0.03703703731298447,0.029411764815449715,0.3159596025943756,0.07193732261657715,0.06374207139015198,0.5,0.5,0.08476430922746658,0.09130139648914337,0.03474288061261177
bhbandam_AZ-Legacy-Engineering,,0.060661762952804565,,0.16512160003185272,,0.15198412537574768,0.24485978484153748,,0.1673702746629715,0.10000000149011612
bmcsoftware_vscode-ispw,,0.06690115481615067,0.12281884998083115,,0.03917578235268593,,,0.14943483471870422,0.28199493885040283,0.2038886398077011
debinix_openjensen,,0.050709936767816544,0.049847397953271866,0.167965367436409,0.09142857789993286,0.1764705777168274,0.24269549548625946,0.06939571350812912,0.09423904865980148,0.4364013075828552
gbeine_COBOLUnit,,0.22420634329319,0.2715800404548645,,0.05913901701569557,,,0.02565341256558895,,0.04519869014620781
lucasrmagalhaes_learning-COBOL,0.18730391561985016,0.25,0.11115620285272598,0.13481806218624115,0.13211575150489807,0.37040814757347107,0.10558260977268219,0.04498725011944771,0.11590924113988876,0.09093251079320908
neopragma_cobol-unit-test,,0.13044217228889465,0.12865497171878815,0.13713768124580383,0.0416666679084301,0.22356028854846954,0.15902079641819,0.0922619104385376,0.27913060784339905,0.1262626200914383
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0833333358168602,,,,0.1666666716337204,0.75,0.1111111119389534,0.06666667014360428,,
thospfuller_rcoboldi,,,,,,,,,,
ve3wwg_cobcurses,0.08577441424131393,0.025862067937850952,0.21497318148612976,0.08491933345794678,0.032387129962444305,0.2110859453678131,0.032096367329359055,0.025122903287410736,0.052493322640657425,0.06548728048801422
z390development_z390,0.07866784930229187,0.07418505102396011,0.03651801124215126,0.08469995856285095,0.035840779542922974,0.1791052371263504,0.04889397323131561,0.0993771106004715,0.08247307687997818,0.17286735773086548
