seed,model,test_repo,top1,top5,top10,mrr,map
0,IR,GaloisGirl_Coding,0.06666667014360428,0.23333333432674408,0.4555555582046509,0.1783374845981598,0.1783374845981598
0,IR+LR,GaloisGirl_Coding,0.06666667014360428,0.24444444477558136,0.4555555582046509,0.17780821025371552,0.17780821025371552
0,IR+RF,GaloisGirl_Coding,0.04444444552063942,0.15555556118488312,0.24444444477558136,0.13909250497817993,0.13909250497817993
0,IR,IBM_example-health-apis,0.140625,0.28125,0.453125,0.2447180449962616,0.2447180449962616
0,IR+LR,IBM_example-health-apis,0.140625,0.28125,0.46875,0.24487492442131042,0.24487492442131042
0,IR+RF,IBM_example-health-apis,0.03125,0.171875,0.328125,0.12526299059391022,0.12526299059391022
0,IR,Martinfx_Cobol,0.09433962404727936,0.2641509473323822,0.4150943458080292,0.20278409123420715,0.20278409123420715
0,IR+LR,Martinfx_Cobol,0.09433962404727936,0.24528302252292633,0.4150943458080292,0.20297256112098694,0.20297256112098694
0,IR+RF,Martinfx_Cobol,0.01886792480945587,0.11320754885673523,0.2641509473323822,0.11198005825281143,0.11198005825281143
0,IR,abrignoli_COBSOFT,0.028985507786273956,0.1304347813129425,0.21739129722118378,0.10878816246986389,0.10878816246986389
0,IR+LR,abrignoli_COBSOFT,0.028985507786273956,0.1304347813129425,0.21739129722118378,0.10894831269979477,0.10894831269979477
0,IR+RF,abrignoli_COBSOFT,0.043478261679410934,0.11594203114509583,0.23188406229019165,0.1196545884013176,0.1196545884013176
0,IR,bhbandam_AZ-Legacy-Engineering,0.02857142873108387,0.2571428716182709,0.6285714507102966,0.17119021713733673,0.17119021713733673
0,IR+LR,bhbandam_AZ-Legacy-Engineering,0.02857142873108387,0.22857142984867096,0.6571428775787354,0.16815078258514404,0.16815078258514404
0,IR+RF,bhbandam_AZ-Legacy-Engineering,0.02857142873108387,0.34285715222358704,0.5142857432365417,0.17390750348567963,0.17390750348567963
0,IR,bmcsoftware_vscode-ispw,0.04878048598766327,0.26829269528388977,0.3658536672592163,0.16484756767749786,0.16484756767749786
0,IR+LR,bmcsoftware_vscode-ispw,0.04878048598766327,0.26829269528388977,0.39024388790130615,0.16431334614753723,0.16431334614753723
0,IR+RF,bmcsoftware_vscode-ispw,0.0731707289814949,0.12195122241973877,0.24390244483947754,0.14452598989009857,0.14452598989009857
0,IR,debinix_openjensen,0.05263157933950424,0.24561403691768646,0.4035087823867798,0.1572980433702469,0.1572980433702469
0,IR+LR,debinix_openjensen,0.05263157933950424,0.21052631735801697,0.45614033937454224,0.15498334169387817,0.15498334169387817
0,IR+RF,debinix_openjensen,0.0,0.12280701845884323,0.4035087823867798,0.11158444732427597,0.11158444732427597
0,IR,gbeine_COBOLUnit,0.03333333507180214,0.10000000149011612,0.20000000298023224,0.10706790536642075,0.10706790536642075
0,IR+LR,gbeine_COBOLUnit,0.03333333507180214,0.10000000149011612,0.20000000298023224,0.10054943710565567,0.10054943710565567
0,IR+RF,gbeine_COBOLUnit,0.06666667014360428,0.06666667014360428,0.2666666805744171,0.11928532272577286,0.11928532272577286
0,IR,lucasrmagalhaes_learning-COBOL,0.03191489353775978,0.20212766528129578,0.3617021143436432,0.14134635031223297,0.14134635031223297
0,IR+LR,lucasrmagalhaes_learning-COBOL,0.021276595070958138,0.20212766528129578,0.3510638177394867,0.1335189789533615,0.1335189789533615
0,IR+RF,lucasrmagalhaes_learning-COBOL,0.010638297535479069,0.12765957415103912,0.20212766528129578,0.089028500020504,0.089028500020504
0,IR,neopragma_cobol-unit-test,0.03703703731298447,0.25925925374031067,0.5370370149612427,0.17850054800510406,0.17850054800510406
0,IR+LR,neopragma_cobol-unit-test,0.03703703731298447,0.25925925374031067,0.5370370149612427,0.17827147245407104,0.17827147245407104
0,IR+RF,neopragma_cobol-unit-test,0.07407407462596893,0.25925925374031067,0.4444444477558136,0.1921239197254181,0.1921239197254181
0,IR,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.1428571492433548,0.4285714328289032,0.5714285969734192,0.29920634627342224,0.29920634627342224
0,IR+LR,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0,0.4285714328289032,0.5714285969734192,0.22777780890464783,0.22777780890464783
0,IR+RF,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0,0.0,0.2857142984867096,0.08187275379896164,0.08187275379896164
0,IR,thospfuller_rcoboldi,0.0,0.0,0.0,0.0,0.0
0,IR+LR,thospfuller_rcoboldi,0.0,0.0,0.0,0.0,0.0
0,IR+RF,thospfuller_rcoboldi,0.0,0.0,0.0,0.0,0.0
0,IR,ve3wwg_cobcurses,0.01904761977493763,0.095238097012043,0.190476194024086,0.08017777651548386,0.08017777651548386
0,IR+LR,ve3wwg_cobcurses,0.01904761977493763,0.095238097012043,0.190476194024086,0.08043714612722397,0.08043714612722397
0,IR+RF,ve3wwg_cobcurses,0.0,0.02857142873108387,0.05714285746216774,0.03953865170478821,0.03953865170478821
0,IR,z390development_z390,0.028985507786273956,0.09420289844274521,0.18115942180156708,0.09157686680555344,0.09157686680555344
0,IR+LR,z390development_z390,0.028985507786273956,0.07971014827489853,0.17391304671764374,0.08867674320936203,0.08867674320936203
0,IR+RF,z390development_z390,0.007246376946568489,0.07246376574039459,0.18115942180156708,0.06779234111309052,0.06779234111309052
