repo_id,DEAD_CODE_AFTER_STOP_RUN,DIVIDE_BY_ZERO_RISK,INFINITE_LOOP_NON_TERMINATION,MISSING_ELSE_FOR_CRITICAL_CHECK,MISSING_FILE_STATUS_HANDLING,REDUNDANT_GOTO,UNDECLARED_IDENTIFIER_REFERENCE,UNINITIALIZED_DATA_ITEM_USE,UNUSED_DATA_ITEM,WRONG_CALCULATION_LOGIC
GaloisGirl_Coding,0.23471274971961975,0.06569413095712662,0.3054487407207489,0.13336552679538727,0.11562500149011612,0.2372405230998993,0.20888197422027588,0.1612364500761032,0.1772463172674179,0.03471801429986954
IBM_example-health-apis,,0.40535715222358704,0.1041666716337204,0.13029012084007263,0.04753086343407631,0.39171478152275085,0.22271443903446198,0.07279693335294724,0.41897648572921753,0.25440093874931335
Martinfx_Cobol,,0.060646604746580124,0.05267857015132904,0.16544543206691742,0.08888889104127884,0.3470238149166107,0.27638888359069824,0.2848970293998718,0.19905777275562286,0.060661762952804565
abrignoli_COBSOFT,0.03703703731298447,0.029411764815449715,0.3159596025943756,0.07193732261657715,0.06374207139015198,0.5,0.5,0.08476430922746658,0.0915709137916565,0.03474288061261177
bhbandam_AZ-Legacy-Engineering,,0.062745101749897,,0.16580958664417267,,0.1438208669424057,0.23663468658924103,,0.16714581847190857,0.10000000149011612
bmcsoftware_vscode-ispw,,0.06610750406980515,0.12281884998083115,,0.03917578235268593,,,0.14791665971279144,0.281678706407547,0.2038886398077011
debinix_openjensen,,0.050709936767816544,0.04939449951052666,0.10995671153068542,0.09142857789993286,0.17147034406661987,0.2641240358352661,0.07268518209457397,0.09613963216543198,0.43821948766708374
gbeine_COBOLUnit,,0.17032164335250854,0.2714938223361969,,0.05615537241101265,,,0.0254554133862257,,0.04361138865351677
lucasrmagalhaes_learning-COBOL,0.18730391561985016,0.25,0.10956969112157822,0.07642161101102829,0.13248874247074127,0.37040814757347107,0.10586188733577728,0.04365149140357971,0.11477679759263992,0.09093251079320908
neopragma_cobol-unit-test,,0.13044217228889465,0.12865497171878815,0.13713768124580383,0.0416666679084301,0.22200904786586761,0.15928925573825836,0.0922619104385376,0.27865439653396606,0.12878787517547607
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0833333358168602,,,,0.1666666716337204,0.5,0.1111111119389534,0.06666667014360428,,
thospfuller_rcoboldi,,,,,,,,,,
ve3wwg_cobcurses,0.08452797681093216,0.025287356227636337,0.21521127223968506,0.0762881189584732,0.03284396603703499,0.2092740535736084,0.03212866932153702,0.026445545256137848,0.05246124044060707,0.08587439358234406
z390development_z390,0.07752948254346848,0.07336805760860443,0.03515932336449623,0.08488612622022629,0.03496060520410538,0.16772179305553436,0.042410362511873245,0.10214285552501678,0.08119440078735352,0.17220371961593628
