seed,metric,model_a,model_b,n_pairs,statistic,p_value,significant_0.05
0,MAP,IR,IR+LR,14,18.0,0.09948088075636449,0
0,MAP,IR,IR+RF,14,16.0,0.03924327615032667,1
0,MAP,IR+LR,IR+RF,14,19.0,0.06403014843302322,0
