repo_id,file_path,requested_types,failure_type,details
Martinfx_Cobol,Martinfx_Cobol/Hello_SQLITE.cbl,"UNINITIALIZED_DATA_ITEM_USE,WRONG_CALCULATION_LOGIC",EXTRACT_FAIL,"This is a COBOL program that demonstrates how to use the OpenCOBOL library to access an SQLite database. The program defines a number of variables and constants, including the name"
Martinfx_Cobol,Martinfx_Cobol/Hello_SQLITE.cbl,"UNINITIALIZED_DATA_ITEM_USE,WRONG_CALCULATION_LOGIC",EXTRACT_FAIL,"This is a COBOL program that demonstrates how to use the OpenCOBOL library to interact with an SQLite database. The program defines a number of variables and constants, including t"
Martinfx_Cobol,Martinfx_Cobol/Hello_SQLITE.cbl,"UNINITIALIZED_DATA_ITEM_USE,WRONG_CALCULATION_LOGIC",FINAL_FAIL,Could not get changed program output
Martinfx_Cobol,Martinfx_Cobol/String.cbl,UNINITIALIZED_DATA_ITEM_USE,UNCHANGED,Model returned unchanged program
Martinfx_Cobol,Martinfx_Cobol/String.cbl,UNINITIALIZED_DATA_ITEM_USE,UNCHANGED,Model returned unchanged program
Martinfx_Cobol,Martinfx_Cobol/SequentialRead.cbl,WRONG_CALCULATION_LOGIC,UNCHANGED,Model returned unchanged program
Martinfx_Cobol,Martinfx_Cobol/SequentialRead.cbl,WRONG_CALCULATION_LOGIC,UNCHANGED,Model returned unchanged program
Martinfx_Cobol,Martinfx_Cobol/SequentialRead.cbl,WRONG_CALCULATION_LOGIC,UNCHANGED,Model returned unchanged program
Martinfx_Cobol,Martinfx_Cobol/SequentialRead.cbl,WRONG_CALCULATION_LOGIC,FINAL_FAIL,Could not get changed program output
Martinfx_Cobol,Martinfx_Cobol/CombinedConditions.cbl,"DIVIDE_BY_ZERO_RISK,INFINITE_LOOP_NON_TERMINATION",UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d10b.cob,"INFINITE_LOOP_NON_TERMINATION,UNINITIALIZED_DATA_ITEM_USE",UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d10b.cob,"INFINITE_LOOP_NON_TERMINATION,UNINITIALIZED_DATA_ITEM_USE",UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d10b.cob,"INFINITE_LOOP_NON_TERMINATION,UNINITIALIZED_DATA_ITEM_USE",UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d10b.cob,"INFINITE_LOOP_NON_TERMINATION,UNINITIALIZED_DATA_ITEM_USE",FINAL_FAIL,Could not get changed program output
GaloisGirl_Coding,GaloisGirl_Coding/d01a.cob,INFINITE_LOOP_NON_TERMINATION,NOT_PROGRAM_AFTER_EXTRACT,003-PROCESS-RECORD.\n   COMPUTE WS-MEASURE = FUNCTION NUMVAL(INPUTRECORD)\n   IF WS-MEASURE > WS-PREV-MEASURE THEN\n       ADD 1 TO WS-NUM\n   END-IF\n   COMPUTE WS-PREV-MEASURE = WS-ME
GaloisGirl_Coding,GaloisGirl_Coding/d12b.cob,UNINITIALIZED_DATA_ITEM_USE,UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d12b.cob,UNINITIALIZED_DATA_ITEM_USE,UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d12b.cob,UNINITIALIZED_DATA_ITEM_USE,UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d12b.cob,UNINITIALIZED_DATA_ITEM_USE,FINAL_FAIL,Could not get changed program output
GaloisGirl_Coding,GaloisGirl_Coding/d15b.cob,"UNINITIALIZED_DATA_ITEM_USE,INFINITE_LOOP_NON_TERMINATION",UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d15b.cob,"UNINITIALIZED_DATA_ITEM_USE,INFINITE_LOOP_NON_TERMINATION",UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d15b.cob,"UNINITIALIZED_DATA_ITEM_USE,INFINITE_LOOP_NON_TERMINATION",UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d15b.cob,"UNINITIALIZED_DATA_ITEM_USE,INFINITE_LOOP_NON_TERMINATION",FINAL_FAIL,Could not get changed program output
GaloisGirl_Coding,GaloisGirl_Coding/d13a.cob,UNINITIALIZED_DATA_ITEM_USE,UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d13a.cob,UNINITIALIZED_DATA_ITEM_USE,UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d13a.cob,UNINITIALIZED_DATA_ITEM_USE,UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d13a.cob,UNINITIALIZED_DATA_ITEM_USE,FINAL_FAIL,Could not get changed program output
GaloisGirl_Coding,GaloisGirl_Coding/d14b.cob,DIVIDE_BY_ZERO_RISK,UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d14b.cob,DIVIDE_BY_ZERO_RISK,UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d14b.cob,DIVIDE_BY_ZERO_RISK,UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d14b.cob,DIVIDE_BY_ZERO_RISK,FINAL_FAIL,Could not get changed program output
GaloisGirl_Coding,GaloisGirl_Coding/d12a.cob,WRONG_CALCULATION_LOGIC,UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d12a.cob,WRONG_CALCULATION_LOGIC,UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d12a.cob,WRONG_CALCULATION_LOGIC,UNCHANGED,Model returned unchanged program
GaloisGirl_Coding,GaloisGirl_Coding/d12a.cob,WRONG_CALCULATION_LOGIC,FINAL_FAIL,Could not get changed program output
GaloisGirl_Coding,GaloisGirl_Coding/d07b.cob,"WRONG_CALCULATION_LOGIC,MISSING_FILE_STATUS_HANDLING",UNCHANGED,Model returned unchanged program
