repo_id,DEAD_CODE_AFTER_STOP_RUN,DIVIDE_BY_ZERO_RISK,INFINITE_LOOP_NON_TERMINATION,MISSING_ELSE_FOR_CRITICAL_CHECK,MISSING_FILE_STATUS_HANDLING,REDUNDANT_GOTO,UNDECLARED_IDENTIFIER_REFERENCE,UNINITIALIZED_DATA_ITEM_USE,UNUSED_DATA_ITEM,WRONG_CALCULATION_LOGIC
GaloisGirl_Coding,0.21172194182872772,0.1066666692495346,0.22841128706932068,0.10062554478645325,0.05791434273123741,0.22372962534427643,0.1976536214351654,0.15595869719982147,0.15275028347969055,0.04706450551748276
IBM_example-health-apis,,0.2797161042690277,0.0922619104385376,0.13215337693691254,0.05690789967775345,0.3742063641548157,0.214752197265625,0.18708792328834534,0.2808432877063751,0.10433057695627213
Martinfx_Cobol,,0.07021605223417282,0.2851731777191162,0.16661140322685242,0.10940476506948471,0.3523809611797333,0.24087589979171753,0.28652745485305786,0.19436071813106537,0.06623931974172592
abrignoli_COBSOFT,0.0476190485060215,0.20000000298023224,0.24399855732917786,0.06039562448859215,0.13735570013523102,1.0,0.3333333432674408,0.41013073921203613,0.08368278294801712,0.07775699347257614
bhbandam_AZ-Legacy-Engineering,,0.15849673748016357,0.07692307978868484,0.21958710253238678,0.5,0.2033013254404068,0.2278679609298706,,0.13665638864040375,0.42548078298568726
bmcsoftware_vscode-ispw,,0.10543200373649597,0.10208626091480255,,0.07050366699695587,,,0.08723267167806625,0.3172251582145691,0.05226588249206543
debinix_openjensen,,0.09862019866704941,0.04659496992826462,0.15771104395389557,0.2793314754962921,0.22083334624767303,0.16223543882369995,0.42222222685813904,0.0860414206981659,0.0914742648601532
gbeine_COBOLUnit,,0.1728571355342865,0.10900223255157471,,0.18147386610507965,,,0.2226700633764267,,0.037802550941705704
lucasrmagalhaes_learning-COBOL,0.18899913132190704,0.19842343032360077,0.09650412201881409,0.06767930835485458,0.2036736011505127,0.37040814757347107,0.09799887984991074,0.04595748335123062,0.1494838446378708,0.17940905690193176
neopragma_cobol-unit-test,,0.28323715925216675,0.10890450328588486,0.11965839564800262,0.15012255311012268,0.22142629325389862,0.15390026569366455,0.06628788262605667,0.2778701186180115,0.12247474491596222
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0833333358168602,,,,0.17045454680919647,0.5,0.3333333432674408,0.06666667014360428,,
thospfuller_rcoboldi,,,,,,,,,,
ve3wwg_cobcurses,0.08781469985842705,0.026709401980042458,0.07690995931625366,0.04904675483703613,0.029712523333728313,0.21134671568870544,0.032820409163832664,0.04475961998105049,0.051331814378499985,0.1199619472026825
z390development_z390,0.1260935366153717,0.27945128083229065,0.07905390858650208,0.026388127356767654,0.04799143970012665,0.16555653512477875,0.048857640475034714,0.04236972704529762,0.07189154624938965,0.1218637079000473
