seed,model,test_repo,top1,top5,top10,mrr,map
0,IR,GaloisGirl_Coding,0.06451612710952759,0.20430107414722443,0.3978494703769684,0.16121657192707062,0.16121657192707062
0,IR+LR,GaloisGirl_Coding,0.06451612710952759,0.20430107414722443,0.3978494703769684,0.1572573035955429,0.1572573035955429
0,IR+RF,GaloisGirl_Coding,0.02150537632405758,0.1505376398563385,0.25806450843811035,0.10948633402585983,0.10948633402585983
0,IR,IBM_example-health-apis,0.10447761416435242,0.23880596458911896,0.41791045665740967,0.2070828378200531,0.2070828378200531
0,IR+LR,IBM_example-health-apis,0.10447761416435242,0.23880596458911896,0.41791045665740967,0.20502309501171112,0.20502309501171112
0,IR+RF,IBM_example-health-apis,0.02985074557363987,0.16417910158634186,0.3731343150138855,0.13407516479492188,0.13407516479492188
0,IR,Martinfx_Cobol,0.1090909093618393,0.27272728085517883,0.4363636374473572,0.21229343116283417,0.21229343116283417
0,IR+LR,Martinfx_Cobol,0.1090909093618393,0.27272728085517883,0.4363636374473572,0.2122325897216797,0.2122325897216797
0,IR+RF,Martinfx_Cobol,0.0181818176060915,0.145454540848732,0.3272727131843567,0.12205403298139572,0.12205403298139572
0,IR,abrignoli_COBSOFT,0.05882352963089943,0.14705882966518402,0.2647058963775635,0.13772602379322052,0.13772602379322052
0,IR+LR,abrignoli_COBSOFT,0.05882352963089943,0.14705882966518402,0.2647058963775635,0.13452015817165375,0.13452015817165375
0,IR+RF,abrignoli_COBSOFT,0.029411764815449715,0.10294117778539658,0.19117647409439087,0.10454151779413223,0.10454151779413223
0,IR,bhbandam_AZ-Legacy-Engineering,0.09756097197532654,0.3658536672592163,0.5609756112098694,0.2295587658882141,0.2295587658882141
0,IR+LR,bhbandam_AZ-Legacy-Engineering,0.0731707289814949,0.3658536672592163,0.5609756112098694,0.21899300813674927,0.21899300813674927
0,IR+RF,bhbandam_AZ-Legacy-Engineering,0.024390242993831635,0.24390244483947754,0.5853658318519592,0.15680131316184998,0.15680131316184998
0,IR,bmcsoftware_vscode-ispw,0.04651162773370743,0.1860465109348297,0.3488371968269348,0.14281001687049866,0.14281001687049866
0,IR+LR,bmcsoftware_vscode-ispw,0.04651162773370743,0.1860465109348297,0.3720930218696594,0.1426970511674881,0.1426970511674881
0,IR+RF,bmcsoftware_vscode-ispw,0.0,0.11627907305955887,0.23255814611911774,0.0839923769235611,0.0839923769235611
0,IR,debinix_openjensen,0.032258063554763794,0.19354838132858276,0.4354838728904724,0.15015429258346558,0.15015429258346558
0,IR+LR,debinix_openjensen,0.032258063554763794,0.20967741310596466,0.4354838728904724,0.15064378082752228,0.15064378082752228
0,IR+RF,debinix_openjensen,0.04838709533214569,0.25806450843811035,0.4516128897666931,0.17073963582515717,0.17073963582515717
0,IR,gbeine_COBOLUnit,0.04651162773370743,0.20930232107639313,0.27906978130340576,0.14224325120449066,0.14224325120449066
0,IR+LR,gbeine_COBOLUnit,0.04651162773370743,0.20930232107639313,0.27906978130340576,0.14240047335624695,0.14240047335624695
0,IR+RF,gbeine_COBOLUnit,0.04651162773370743,0.11627907305955887,0.23255814611911774,0.10608077794313431,0.10608077794313431
0,IR,lucasrmagalhaes_learning-COBOL,0.04123711213469505,0.20618556439876556,0.3298968970775604,0.14064209163188934,0.14064209163188934
0,IR+LR,lucasrmagalhaes_learning-COBOL,0.05154639109969139,0.20618556439876556,0.3195876181125641,0.14532770216464996,0.14532770216464996
0,IR+RF,lucasrmagalhaes_learning-COBOL,0.030927835032343864,0.09278350323438644,0.23711340129375458,0.10381622612476349,0.10381622612476349
0,IR,neopragma_cobol-unit-test,0.06779661029577255,0.3050847351551056,0.5932203531265259,0.19498123228549957,0.19498123228549957
0,IR+LR,neopragma_cobol-unit-test,0.050847455859184265,0.3050847351551056,0.5932203531265259,0.18568111956119537,0.18568111956119537
0,IR+RF,neopragma_cobol-unit-test,0.050847455859184265,0.22033898532390594,0.38983049988746643,0.16293519735336304,0.16293519735336304
0,IR,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0,0.5714285969734192,0.5714285969734192,0.2606060802936554,0.2606060802936554
0,IR+LR,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0,0.5714285969734192,0.5714285969734192,0.2606060802936554,0.2606060802936554
0,IR+RF,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0,0.1428571492433548,0.4285714328289032,0.1207251101732254,0.1207251101732254
0,IR,thospfuller_rcoboldi,0.0,0.0,0.0,0.0,0.0
0,IR+LR,thospfuller_rcoboldi,0.0,0.0,0.0,0.0,0.0
0,IR+RF,thospfuller_rcoboldi,0.0,0.0,0.0,0.0,0.0
0,IR,ve3wwg_cobcurses,0.008928571827709675,0.0714285746216774,0.1785714328289032,0.06711535155773163,0.06711535155773163
0,IR+LR,ve3wwg_cobcurses,0.008928571827709675,0.0803571417927742,0.1785714328289032,0.06953553855419159,0.06953553855419159
0,IR+RF,ve3wwg_cobcurses,0.01785714365541935,0.0535714291036129,0.0625,0.05755792185664177,0.05755792185664177
0,IR,z390development_z390,0.021739130839705467,0.1304347813129425,0.2246376872062683,0.09531416743993759,0.09531416743993759
0,IR+LR,z390development_z390,0.021739130839705467,0.1304347813129425,0.21739129722118378,0.09392747282981873,0.09392747282981873
0,IR+RF,z390development_z390,0.007246376946568489,0.07971014827489853,0.18840579688549042,0.06637059152126312,0.06637059152126312
1,IR,GaloisGirl_Coding,0.06451612710952759,0.20430107414722443,0.3978494703769684,0.16121657192707062,0.16121657192707062
